locationName,locationZipCode,description,buildingType,waterUsageIntensity,sqFt,totalWaterUsage,yearBuilt,reportYear,reportType,Source
Pittsburgh,15222,,Parking Garage,0.3,,,,2015,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24076858?enlarge=163790223#attachment_163790223
Pittsburgh,15222,,Office,12.5,,,,2015,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24076858?enlarge=163790223#attachment_163790223
Pittsburgh,15222,,Motion Picture Theater,12.5,,,,2015,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24076858?enlarge=163790223#attachment_163790223
Pittsburgh,15222,,Office,12.7,,,,2015,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24076858?enlarge=163790223#attachment_163790223
Pittsburgh,15222,,School/University,13.3,,,,2015,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24076858?enlarge=163790223#attachment_163790223
Pittsburgh,15222,,Performing Arts Theater,13.9,,,,2015,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24076858?enlarge=163790223#attachment_163790223
Pittsburgh,15222,,Office,15.6,,,,2015,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24076858?enlarge=163790223#attachment_163790223
Pittsburgh,15222,,Office,18.4,,,,2015,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24076858?enlarge=163790223#attachment_163790223
Pittsburgh,15222,,Dormitory,28.5,,,,2015,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24076858?enlarge=163790223#attachment_163790223
Pittsburgh,15222,,Multifamily,36.4,,,,2015,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24076858?enlarge=163790223#attachment_163790223
Pittsburgh,15222,,Hotel,39.4,,,,2015,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24076858?enlarge=163790223#attachment_163790223
Pittsburgh,15222,,Dining: bar lounge/leisure,134.5,,,,2015,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24076858?enlarge=163790223#attachment_163790223
Seattle,98101,,School/University,11.09,,,,2011,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077385?enlarge=163794911#attachment_163794911
Seattle,98101,,Religious Building,11.31,,,,2011,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077385?enlarge=163794911#attachment_163794911
Seattle,98101,,Workshop,11.74,,,,2011,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077385?enlarge=163794911#attachment_163794911
Seattle,98101,,Performing Arts Theater,12.88,,,,2011,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077385?enlarge=163794911#attachment_163794911
Seattle,98101,,Warehouse,13,,,,2011,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077385?enlarge=163794911#attachment_163794911
Seattle,98101,,Office,14.21,,,,2011,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077385?enlarge=163794911#attachment_163794911
Seattle,98101,,Health Care Clinic ,21,,,,2011,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077385?enlarge=163794911#attachment_163794911
Seattle,98101,,Retail,24.77,,,,2011,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077385?enlarge=163794911#attachment_163794911
Seattle,98101,,Hospital,26.12,,,,2011,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077385?enlarge=163794911#attachment_163794911
Seattle,98101,,Health Care Clinic ,30.11,,,,2011,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077385?enlarge=163794911#attachment_163794911
Seattle,98101,,Manufacturing Facility,32.53,,,,2011,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077385?enlarge=163794911#attachment_163794911
Seattle,98101,,Dining: bar lounge/leisure,36.95,,,,2011,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077385?enlarge=163794911#attachment_163794911
Seattle,98101,,Multifamily,41.14,,,,2011,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077385?enlarge=163794911#attachment_163794911
Seattle,98101,,Hotel,50.07,,,,2011,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077385?enlarge=163794911#attachment_163794911
Seattle,98101,,Dining: bar lounge/leisure,125.99,,,,2011,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077889?enlarge=163798852#attachment_163798852
Denver,80201,Abraham Lincoln,School/University,6.23,321577,2005000,1960,2009,Reported,https://basecamp.com/2975313/projects/9735215/uploads/24076855?enlarge=163790220#attachment_163790220
Denver,80201,Academia Ana Sandoval,School/University,7.94,66404,527000,2001,2009,Reported,https://basecamp.com/2975313/projects/9735215/uploads/24076855?enlarge=163790220#attachment_163790220
Denver,80201,Amesse,School/University,8.99,70740,636000,1973,2009,Reported,https://basecamp.com/2975313/projects/9735215/uploads/24076855?enlarge=163790220#attachment_163790220
Denver,80201,Archuleta,School/University,18.45,67813,1251000,2002,2009,Reported,https://basecamp.com/2975313/projects/9735215/uploads/24076855?enlarge=163790220#attachment_163790220
Denver,80201,Asbury,School/University,9.52,43610,415000,1925,2009,Reported,https://basecamp.com/2975313/projects/9735215/uploads/24076855?enlarge=163790220#attachment_163790220
Denver,80201,Ashley,School/University,7.83,54264,425000,1929,2009,Reported,https://basecamp.com/2975313/projects/9735215/uploads/24076855?enlarge=163790220#attachment_163790220
Denver,80201,Barnum,School/University,14.49,73936,1071000,1923,2009,Reported,https://basecamp.com/2975313/projects/9735215/uploads/24076855?enlarge=163790220#attachment_163790220
Denver,80201,Barrett,School/University,7.83,43535,341000,1960,2009,Reported,https://basecamp.com/2975313/projects/9735215/uploads/24076855?enlarge=163790220#attachment_163790220
Denver,80201,Beach Court,School/University,9.50,51981,494000,1929,2009,Reported,https://basecamp.com/2975313/projects/9735215/uploads/24076855?enlarge=163790220#attachment_163790220
Denver,80201,Bill Roberts,School/University,5.99,105875,634000,2006,2009,Reported,https://basecamp.com/2975313/projects/9735215/uploads/24076855?enlarge=163790220#attachment_163790220
Denver,80201,Bradley,School/University,7.33,73120,536000,1953,2009,Reported,https://basecamp.com/2975313/projects/9735215/uploads/24076855?enlarge=163790220#attachment_163790220
Denver,80201,Bromwell,School/University,12.42,41052,510000,1955,2009,Reported,https://basecamp.com/2975313/projects/9735215/uploads/24076855?enlarge=163790220#attachment_163790220
Denver,80201,Brown,School/University,7.95,70664,562000,1952,2009,Reported,https://basecamp.com/2975313/projects/9735215/uploads/24076855?enlarge=163790220#attachment_163790220
Denver,80201,Bruce Randolph,School/University,10.72,152480,1635000,2002,2009,Reported,https://basecamp.com/2975313/projects/9735215/uploads/24076855?enlarge=163790220#attachment_163790220
