locationName,locationZipCode,description,buildingType,waterUsageIntensity,sqFt,totalWaterUsage,yearBuilt,reportYear,reportType,Source
Pittsburgh,15222,,Parking Garage,0.3,,,,,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24076858?enlarge=163790223#attachment_163790223
Pittsburgh,15222,,Medium Office,12.5,,,,,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24076858?enlarge=163790223#attachment_163790223
Pittsburgh,15222,,Small Assembly,12.5,,,,,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24076858?enlarge=163790223#attachment_163790223
Pittsburgh,15222,,Small Commercial,12.7,,,,,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24076858?enlarge=163790223#attachment_163790223
Pittsburgh,15222,,College/University,13.3,,,,,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24076858?enlarge=163790223#attachment_163790223
Pittsburgh,15222,,Arts,13.9,,,,,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24076858?enlarge=163790223#attachment_163790223
Pittsburgh,15222,,Large Office,15.6,,,,,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24076858?enlarge=163790223#attachment_163790223
Pittsburgh,15222,,Large Office w/Mixed Use,18.4,,,,,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24076858?enlarge=163790223#attachment_163790223
Pittsburgh,15222,,Residence Hall/Dormitory,28.5,,,,,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24076858?enlarge=163790223#attachment_163790223
Pittsburgh,15222,,Multifamily,36.4,,,,,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24076858?enlarge=163790223#attachment_163790223
Pittsburgh,15222,,Hotel,39.4,,,,,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24076858?enlarge=163790223#attachment_163790223
Pittsburgh,15222,,Restaurant,134.5,,,,,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24076858?enlarge=163790223#attachment_163790223
Seattle,98101,,K-12 School,11.09,,,,,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077385?enlarge=163794911#attachment_163794911
Seattle,98101,,House of Worship,11.31,,,,,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077385?enlarge=163794911#attachment_163794911
Seattle,98101,,"Service (vehicle repair/service, postal service)",11.74,,,,,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077385?enlarge=163794911#attachment_163794911
Seattle,98101,,Entertainment/culture,12.88,,,,,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077385?enlarge=163794911#attachment_163794911
Seattle,98101,,Warehouse,13,,,,,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077385?enlarge=163794911#attachment_163794911
Seattle,98101,,Office,14.21,,,,,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077385?enlarge=163794911#attachment_163794911
Seattle,98101,,Medical Office ,21,,,,,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077385?enlarge=163794911#attachment_163794911
Seattle,98101,,Retail,24.77,,,,,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077385?enlarge=163794911#attachment_163794911
Seattle,98101,,Hospital,26.12,,,,,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077385?enlarge=163794911#attachment_163794911
Seattle,98101,,Nursing/Assisted Living,30.11,,,,,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077385?enlarge=163794911#attachment_163794911
Seattle,98101,,Industrial,32.53,,,,,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077385?enlarge=163794911#attachment_163794911
Seattle,98101,,Social/meeting,36.95,,,,,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077385?enlarge=163794911#attachment_163794911
Seattle,98101,,Multi-family Residential,41.14,,,,,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077385?enlarge=163794911#attachment_163794911
Seattle,98101,,Hotel,50.07,,,,,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077385?enlarge=163794911#attachment_163794911
Seattle,98101,,Restaurant,125.99,,,,,Baseline ,https://basecamp.com/2975313/projects/9735215/uploads/24077889?enlarge=163798852#attachment_163798852
Denver,80201,Abraham Lincoln,High School,6.23,321577,2005000,1960,2009,Reported,https://basecamp.com/2975313/projects/9735215/uploads/24076855?enlarge=163790220#attachment_163790220
Denver,80201,Academia Ana Sandoval,Elementary School,7.94,66404,527000,2001,2009,Reported,https://basecamp.com/2975313/projects/9735215/uploads/24076855?enlarge=163790220#attachment_163790220
Denver,80201,All City,Other School,#VALUE!,N/A,1386000,1957,2009,Reported,https://basecamp.com/2975313/projects/9735215/uploads/24076855?enlarge=163790220#attachment_163790220
